反馈id,端,内容,反馈产品,问题类型,问题标签,问题样张,组件,版本号,渠道号,traceid,guid,hdid,来源字单元id,deviceid,设备类型,设备型号名称,设备系统版本,设备系统语言,云开关状态,ABI类型,SVN号,VC值,反馈时间,是否处理,最后处理人昵称,用户附件数量,用户附件列表,内部附件列表,附加信息,备注,系统语言,安装位置,CPU,显卡信息,设备名称,内存,硬盘,分辨率,系统版本,时区,客户端模式,云同步状态
fb_69557084d449ec005a1e9a27,pc,为什么冲了会员还经常弹窗广告充值，严重影响正常使用，请问如何关闭,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,811953C388D64BEAB1693F5213C091D9,20bd4f14ffba8a0bef57037ddc124630,,,,Win32,Win32,,,,,,2026/1/1 2:50,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1354MB),"AMD Ryzen 7 9700X 8-Core Processor             , 3.80GHz, ASUSTeK COMPUTER INC. PRIME B650M-K","OrayIddDriver Device, VRAM, Driver v17.50.19.949 AMD Radeon RX 9070 GRE, VRAM, Driver v32.0.22029.9039 AMD Radeon(TM) Graphics, 512MB VRAM, Driver v32.0.21033.2001",Sherwin-PC,Unknown Memory-4800 SDRAM:11.8/31.2GB,C:164.0/300GB,3440x1440,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_695565012de9f70053172e9b,pc,IA续写不能正常使用,WPS AI,功能无法使用,,,wps,12.1.0.24034,20.2706,1767204099154_1.8_4632935a3253,8DD9C190E5E144FEBCAEE3AA9E249424,ff6bc4c961aaa04cdfc87b2ac2da7442,,,,Win32,Win32,,,,,,2026/1/1 2:01,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1400MB),"AMD Ryzen 5 5625U with Radeon Graphics         , 2.30GHz, Dell Inc.  ","OrayIddDriver Device, VRAM, Driver v17.1.58.818 AMD Radeon (TM) Graphics, 512MB VRAM, Driver v31.0.21921.1000",DESKTOP-6PEKG26,DDR4-3200 SDRAM:10.7/15.4GB,"C:149.5/154GB, D:76.3/151GB",3072x1920,Microsoft Windows 11 专业版(64 位) Build 22631 v10.0.22631,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_695562802de9f70053172e95,pc,都开了会员了每天弹尼玛的窗，能不能别这么恶心，考虑下用户的感受,WPS OFFICE,,,,home,12.1.0.24034,12012.2019,,6427E3E3031A41319BE2C8234389049A,f6d795e6edda4d27d90cfaa6cc26b7cc,,,,Win32,Win32,,,,,,2026/1/1 1:50,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1325MB),"12th Gen Intel(R) Core(TM) i5-12600KF, 3.70GHz, Colorful Technology And Development Co.,LTD CVN Z690M GAMING FROZEN ","NVIDIA GeForce RTX 3060, VRAM, Driver v32.0.15.6094",CLAY,DDR4-2133 SDRAM:8.8/15.8GB,"C:52.8/199GB, D:2.9/731GB",2560x1440,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_69555fea118666005a2b1a75,pc,pdf没有导出图片功能,WPS OFFICE,,,,home,12.1.0.24031,12012.2019,1767202794521_100.190_efb79af00504,573148418F7A45CDAB24CDEAA3DFE5E1,2c40382302aac819205a8f506f3e1b1d,,,,Win32,Win32,,,,,,2026/1/1 1:39,未处理,,0,,,,,zh-CN,D:\wps\WPS Office\12.1.0.24031 (1351MB),"12th Gen Intel(R) Core(TM) i5-1240P, 1.70GHz, HP 8978","OrayIddDriver Device, VRAM, Driver v17.1.58.818 Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v32.0.101.7077",RM06633,DDR4-3200 SDRAM:12.4/15.6GB,"C:73.2/149GB, D:71.1/180GB",1920x1080,Microsoft Windows 11 专业版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69555c78d449ec005a1e9a1b,pc,为什么充值会员一致退款啊？,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.524,,B4684E21C3CA47E2994B69CE44808A94,1d49b50158b87aa1075815e06c50b27c,,,,Win32,Win32,,,,,,2026/1/1 1:25,未处理,,0,,,,,zh-CN,C:\Users\汤金铨\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1419MB),"11th Gen Intel(R) Core(TM) i5-11320H @ 3.20GHz, 3.19GHz, TIMI TM2131","Intel(R) Iris(R) Xe Graphics, 1024MB VRAM, Driver v30.0.101.1069",凌波漫步,DDR4-3200 SDRAM:9.6/15.8GB,C:435.9/476GB,3456x2160,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_695551063dc417005ae63072,pc,WPS文件可以正常打开，但是直接运行WPS不能运行系统,WPS OFFICE,,,,home,12.1.0.24034,1.1,1767198981031_1.30_9cc2e878c4b4,054426811C734EB89C855AAC2999367F,53d90dd6af725958c3deed15ad06fe37,,,,Win32,Win32,,,,,,2026/1/1 0:36,未处理,,0,,,,,zh-CN,C:/Users/ASUS/AppData/Local/Kingsoft/WPS Office/12.1.0.24034 (1357MB),"12th Gen Intel(R) Core(TM) i7-12700H, 2.30GHz, ASUSTeK COMPUTER INC. FX507ZV4","Intel(R) Iris(R) Xe Graphics, 2048MB VRAM, Driver v32.0.101.6790 NVIDIA GeForce RTX 4060 Laptop GPU, VRAM, Driver v32.0.15.5597",LAPTOP-9BD4BCNS,DDR4-3200 SDRAM:9.4/15.6GB,C:179.1/198GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_69554daf2de9f70053172e7d,pc,说了到期不兑换超级会员的话自动充值到个人账号，这就偷偷下架了兑换按钮，装什么，别想逃避，说话不算数了！！！,PC端个人中心,,,,wpsoffice,12.1.0.19302,12012.2019,,67D4EB33227F4D0FBD0D8010A212D7C4,21e276cdcf751081d994742d0ae0f962,,,,Win32,Win32,,,,,,2026/1/1 0:22,未处理,,0,,,,,zh-CN,D:\Program Files (x86)\Efficiency office\WPS Office\12.1.0.19302 (1177MB),"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz, 2.59GHz, ASUSTeK COMPUTER INC. GL502VML","NVIDIA GeForce GTX 1060, VRAM, Driver v23.21.13.8857",玩万事大吉,DDR4-2133 SDRAM:9.1/15.9GB,"C:96.4/118GB, D:190.1/360GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,,manual
fb_69554c84b1404a004c82e2c1,pc,文档使用密码加密，微信传给朋友，下载到电脑需要密码打开。但是微信中直接打开（不需要密码），做点修改，另存到电脑，就不需要密码就能打开了,WPS OFFICE,,,,home,12.1.0.24034,50.393,1767197837238_3.49_70c95713c9be,083FF83F8C204F42BE6D8905089D69D8,2393a35f8c49a992556170c2f3f1320f,,,,Win32,Win32,,,,,,2026/1/1 0:17,未处理,,0,,,,,zh-CN,D:\软件\WPS Office\10.1.0.7566\12.1.0.24034 (1382MB),"Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz, 2.30GHz, Dell Inc. 0YMMT6","Intel(R) UHD Graphics 630, 1024MB VRAM, Driver v27.20.100.9664 NVIDIA GeForce GTX 1050, VRAM, Driver v31.0.15.2879",hx,DDR4-2667 SDRAM:7.7/11.7GB,"C:85.8/104GB, D:41.1/80GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69554c35b28a0c004c50beb6,pc,打印不了双面打印,打印预览和打印,,,,wps,12.1.0.24657,20.2706,,2CEA4A6C7CD64840A70826C6BDBD4B73,2b16ef893e4a45de9f0d7428ded518e3,,,,Win32,Win32,,,,,,2026/1/1 0:15,未处理,,0,,,,,zh-CN,C:\Users\22818\AppData\Local\Kingsoft\WPS Office\12.1.0.24657 (1309MB),"AMD Ryzen 5 5500U with Radeon Graphics         , 2.10GHz, LENOVO LNVNB161216","AMD Radeon(TM) Graphics, VRAM, Driver v31.0.21024.2004",轩琨智,DDR4-3200 SDRAM:4.5/5.8GB,C:86.6/200GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_695548b5616a01005ac7933d,pc,电话号码不用了，怎么更换,PC端个人中心,,,,wpsoffice,12.1.0.24034,1.1,,9F50B676ED8447BFAC3947E4F4690478,3618bdf271944549db05050ef37537f3,,,,Win32,Win32,,,,,,2026/1/1 0:00,未处理,,0,,,,,zh-CN,C:\Program Files (x86)\WPS Office\12.1.0.24034 (1351MB),"13th Gen Intel(R) Core(TM) i5-13420H, 2.10GHz, HUAWEI MDG-XX-PCB","Intel(R) UHD Graphics, 1024MB VRAM, Driver v31.0.101.4146",LAPTOP-GFBL65L9,LPDDR4-4267 SDRAM:9.0/15.7GB,C:86.5/200GB,1920x1200,Microsoft Windows 11 家庭中文版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_695546d82de9f70053172e69,pc,没有仿宋 gb2312字体，麻烦速度帮我解决,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,CD1ADA115F5C4EFE87EFC8A67C67B7FE,65532c8e2afd0b7a9e04dc4cc4ed3b03,,,,Win32,Win32,,,,,,2025/12/31 23:52,未处理,,0,,,,,zh-CN,,"Intel(R) Xeon(R) CPU E5-2698B v3 @ 2.00GHz, 2.00GHz, INTEL X99","AMD Radeon RX590 GME, VRAM, Driver v31.0.12027.9001",DESKTOP-S6FKC29,DDR3-1867 SDRAM:3.7/47.8GB,C:50.7/60GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69554696e782ad00534b0822,pc,打开WPS软件后，键盘计算器快捷键打不开,PC端个人中心,,,,wpsoffice,12.1.0.24031,12012.2019,,71414A287F0943128EF43C86B9DF9802,cd23f1478e26fb09a65fb6bef7d3eada,,,,Win32,Win32,,,,,,2025/12/31 23:51,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24031 (1383MB),"11th Gen Intel(R) Core(TM) i5-11500 @ 2.70GHz, 2.71GHz, Dell Inc. 0GK35Y","NVIDIA T600, VRAM, Driver v32.0.15.7344 Intel(R) UHD Graphics 750, 2048MB VRAM, Driver v32.0.101.7026",DELL,DDR4-3200 SDRAM:5.0/15.7GB,"C:47.4/161GB, D:9.0/77GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6955466eb1404a004c82e2ae,pc,跨境电商客户日益增多，WPS图片编辑支持一键图片中的中文翻译英文吗？,WPS OFFICE,,,,home,12.1.0.23542,20.2706,1767196273274_1.84_52f4872c6b94,2D9BB24C48404B3AAE001E9D95ADA372,a23d227bc79e178841849b88eb0196b6,,,,Win32,Win32,,,,,,2025/12/31 23:51,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767196130945/o_1jdqhl25sjk51jvp98p11pinf8e.jpg,,,,zh-CN,D:\软件\WPS Office\WPS Office\12.1.0.23542 (1321MB),"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz, 2.42GHz, LENOVO LNVNB161216","OrayIddDriver Device, VRAM, Driver v17.50.19.949 Intel(R) Iris(R) Xe Graphics, 1024MB VRAM, Driver v30.0.101.1960",DESKTOP-4DEFHB2,DDR4-3200 SDRAM:8.9/15.8GB,"C:90.6/245GB, D:10.8/232GB",1920x1080,Microsoft Windows 10 家庭版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_69554544b1404a004c82e2a7,pc,出现bug，pdf浏览中无法显示工具栏具体内容，只有边框，重启仍无法修复 详见截图,WPS PDF,,,,wpsoffice,12.1.0.22529,12012.2019,,24D5A730927E48908DBE0BF18CA54DA0,e5ebcc1f44a3242663221a6cbe6f527d,,,,Win32,Win32,,,,,,2025/12/31 23:46,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767195807026/o_1jdqhbe2i1alenkd1u961ukm1scpe.png,,,,zh-CN,D:\Downloads\WPS Office\12.1.0.22529 (1252MB),"12th Gen Intel(R) Core(TM) i7-12650H, 2.30GHz, MECHREVO GM5AR0O","NVIDIA GeForce RTX 4060 Laptop GPU, VRAM, Driver v32.0.15.9159 Intel(R) UHD Graphics, 128MB VRAM, Driver v31.0.101.5186",板鸭,DDR4-3200 SDRAM:7.8/15.7GB,"C:117.4/199GB, D:226.6/276GB",2560x1440,Microsoft Windows 11 家庭中文版(64 位) Build 26200 v10.0.26200,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,,manual
fb_6955417de782ad00534b0817,pc,仿宋_GB2312,缺失字体,,,,wps,12.1.0.24034,50.513,,CD1ADA115F5C4EFE87EFC8A67C67B7FE,65532c8e2afd0b7a9e04dc4cc4ed3b03,,,,Win32,Win32,,,,,,2025/12/31 23:30,未处理,,0,,,{"plugin_version":"3.1.0.27296"},,zh-CN,,"Intel(R) Xeon(R) CPU E5-2698B v3 @ 2.00GHz, 2.00GHz, INTEL X99","AMD Radeon RX590 GME, VRAM, Driver v31.0.12027.9001",DESKTOP-S6FKC29,DDR3-1867 SDRAM:5.9/47.8GB,C:50.0/60GB,1920x1080,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69553f0cd449ec005a1e99ed,pc,在外部网络正常的情况下， wps无法更新文件到云端， 且无法下载在线资源（如ppt中的 “插入- 图片 -在线图片”）,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,4B5145409E1A4554901F08B4311ED8D3,2cf6e0dab9ac50bae3f676fd1f0f4c18,,,,Win32,Win32,,,,,,2025/12/31 23:19,未处理,,0,,,,,zh-CN,D:\app下载地址\WPS Office\12.1.0.24034 (1370MB),"Intel(R) Core(TM) i5-10200H CPU @ 2.40GHz, 2.40GHz, LENOVO LNVNB161216","NVIDIA GeForce GTX 1650, VRAM, Driver v31.0.15.1700",LAPTOP-LR1JDCNM,DDR4-2933 SDRAM:9.7/15.9GB,"C:91.2/100GB, D:235.4/376GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_69553df43dc417005ae63057,pc,精度严重失真 原来底图很清晰，替换后底图模糊到看不清,风格克隆,,,,WPSOFFICE,12.1.0.24034,12012.2019,,8B355E61F84C4BF69AD6E392B15BCF0E,17047f631710008b28a7085d5ab445b2,,,,Win32,Win32,,,,,,2025/12/31 23:15,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1395MB),"12th Gen Intel(R) Core(TM) i7-12700KF, 3.60GHz, Colorful Technology And Development Co.,LTD CVN Z690 GAMING FROZEN ","OrayIddDriver Device, VRAM, Driver v17.50.19.949 NVIDIA GeForce RTX 3080, VRAM, Driver v32.0.15.6094 GameViewer Virtual Display Adapter, VRAM, Driver v17.13.25.697",12700KF,DDR4-2133 SDRAM:25.0/63.8GB,"C:233.9/377GB, D:418.2/554GB",3440x1440,Microsoft Windows 11 家庭中文版(64 位) Build 22000 v10.0.22000,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69553da6e782ad00534b0801,pc,拼音指南加载不出来,拼音指南,,,,WPS,12.1.0.24034,20.2706,1767194022673_100.198_19832ef5a565,F1EA0F3CDA44402B8BCD5DC4A96E04A8,d2839cdd3370a830f49b865a2755b6fd,,,,Win32,Win32,,,,,,2025/12/31 23:13,未处理,,0,,,,,zh-CN,,,,,,,,,,,auto
